category,subcategory,id,name,ingredients,option1,price1,option2,price2,tags,notes,isOnSale,salePrice,isChefsChoice
Sales & Specials,Sales,null,null,null,null,null,null,null,null,null,null,null,null
Sales & Specials,Bento Boxes,ss_bb-sushBent,Sushi Bento,"9pc sushi, spicy salmon roll, gyoza, yubu, green salad, miso soup",lunch,$17.00,dinner,$19,spicy,null,FALSE,$0,FALSE
Sales & Specials,Bento Boxes,ss_bb-makiBent,Maki Bento,"original dynamite, spicy salmon, gyoza, yubu, green salad, miso soup",lunch,$17.00,dinner,$19,spicy,null,FALSE,$0,FALSE
Sales & Specials,Bento Boxes,ss_bb-salmSushSashBent,Salmon Sushi Sashimi Bento,"salmon sashimi, salmon sushi, spicy salmon, gyoza seaweed salad",lunch,$17.00,dinner,$19,spicy,null,FALSE,$0,FALSE
Sales & Specials,Bento Boxes,ss_bb-vegaBent,Vegan Bento,"avocado cucumber roll, yam avocado roll, yubu, gyoza, seaweed salad",lunch,$16,dinner,$18,vegan,null,FALSE,$0,FALSE
Sales & Specials,Bento Boxes,ss_bb-tempBent,Tempura Bento,"shrimp tempura, vegetable tempura, gyoza, rice, green salad, miso soup",lunch,$17,dinner,$19,null,null,FALSE,$0,FALSE
Sales & Specials,Bento Boxes,ss_bb-bulgBent,Bulgogi Bento,"bulgogi, california roll, gyoza, green salad, miso soup",lunch,$18,dinner,$20,null,null,FALSE,$0,FALSE
Sales & Specials,Bento Boxes,ss_bb-salmSushSet,Salmon Sushi Set,"9pc salmon sushi, green salad, miso soup",lunch,$14,dinner,$16,null,null,FALSE,$0,FALSE
Sales & Specials,Bento Boxes,ss_bb-salmAndTunaSet,Salmon and Tuna Sushi Set,"6pc salmon sushi, 4pc tuna sushi, green salad, miso soup",lunch,$15,dinner,$17,null,null,FALSE,$0,FALSE
Sales & Specials,Bento Boxes,ss_bb-chicKatsDonb,Chicken Katsu Donburi,"2pc chicken katsu, rice, green salad, miso soup",lunch,$16,dinner,$18,null,null,FALSE,$0,FALSE
Starters,Salad,st_sa-avoc,Avocado Salad,null,null,$5.90,null,null,null,null,FALSE,$0,FALSE
Starters,Salad,st_sa-waka,Wakame Salad,null,null,$5.90,null,null,null,null,FALSE,$0,FALSE
